,Sentiment
123359,Positive
254686,Negative
171223,Positive
250630,Negative
144041,Positive
166861,Negative
105714,Negative
99659,Negative
184202,Negative
301459,Positive
361606,Positive
179845,Positive
97768,Positive
21424,Positive
229510,Negative
474058,Negative
439058,Positive
68262,Positive
393242,Negative
346919,Negative
496459,Negative
275023,Negative
19771,Positive
344865,Positive
335013,Negative
323338,Negative
293453,Positive
378904,Negative
132072,Positive
197358,Negative
87436,Negative
493986,Positive
394278,Negative
460955,Positive
247971,Negative
489897,Negative
129848,Negative
126280,Negative
237443,Negative
202805,Negative
493134,Positive
500026,Positive
176647,Negative
47573,Negative
326014,Negative
415271,Positive
461685,Positive
363389,Positive
127999,Negative
68120,Negative
224139,Positive
250747,Positive
252155,Negative
489680,Positive
160666,Negative
295538,Negative
419264,Negative
112303,Negative
492212,Positive
363534,Negative
469407,Negative
52568,Negative
83893,Negative
135893,Negative
110098,Negative
335853,Positive
7664,Positive
114792,Negative
68466,Negative
367869,Positive
125013,Negative
42338,Positive
380965,Positive
8740,Negative
455733,Positive
394410,Negative
474253,Negative
221002,Positive
260773,Positive
493998,Positive
159240,Positive
87445,Negative
10465,Positive
112693,Positive
65585,Negative
382686,Negative
191860,Negative
447080,Positive
238862,Positive
99873,Positive
227627,Positive
328202,Positive
440185,Negative
295875,Negative
147179,Positive
101050,Positive
87545,Positive
245945,Negative
351542,Positive
15370,Negative
410550,Negative
490265,Positive
420001,Positive
469742,Positive
349872,Negative
340728,Positive
37623,Negative
333901,Negative
485114,Negative
333817,Negative
134631,Positive
136391,Positive
56980,Positive
13324,Negative
60122,Negative
333570,Negative
325084,Negative
263608,Negative
203139,Negative
20533,Positive
396897,Positive
399377,Negative
23229,Positive
304965,Positive
298657,Positive
61969,Positive
147388,Negative
127455,Negative
175697,Positive
450001,Positive
491929,Positive
179480,Negative
47495,Negative
372416,Negative
136990,Positive
263174,Positive
114049,Negative
251053,Positive
100352,Positive
376723,Positive
168170,Negative
222932,Negative
446713,Positive
407768,Negative
210439,Negative
492161,Positive
463770,Negative
91314,Negative
113596,Negative
307928,Negative
19020,Negative
447041,Negative
414444,Positive
425583,Negative
29479,Positive
405428,Positive
7116,Positive
208502,Positive
515507,Positive
369830,Positive
485226,Positive
230202,Negative
73627,Positive
491650,Positive
29833,Negative
158373,Positive
36579,Negative
125864,Negative
494778,Negative
175040,Positive
68650,Positive
254616,Negative
259659,Positive
37635,Positive
357894,Positive
349713,Positive
89365,Positive
77238,Positive
67285,Negative
41536,Positive
260583,Negative
93671,Positive
203414,Negative
444112,Positive
455498,Positive
394146,Positive
438213,Positive
63417,Positive
359764,Negative
367500,Negative
148389,Positive
114497,Negative
492218,Negative
11920,Positive
496415,Negative
194517,Negative
125631,Negative
32213,Negative
376882,Positive
329032,Positive
136145,Negative
436176,Negative
347368,Positive
79206,Negative
336729,Positive
70656,Positive
368291,Negative
195824,Negative
491288,Positive
266883,Positive
505590,Negative
233364,Negative
497823,Negative
66737,Negative
39177,Negative
64709,Negative
362199,Negative
238469,Positive
342530,Positive
123920,Negative
240126,Positive
164742,Positive
486768,Positive
81986,Negative
201094,Positive
193515,Positive
426521,Negative
480025,Positive
482437,Negative
100395,Negative
104436,Negative
389691,Negative
274376,Positive
169149,Negative
507256,Positive
325874,Negative
488111,Positive
228923,Positive
418733,Positive
397861,Negative
149874,Negative
431937,Positive
209784,Negative
420000,Positive
19292,Positive
204647,Negative
439706,Negative
195917,Negative
296035,Negative
464259,Negative
74619,Negative
205254,Negative
167698,Negative
497996,Negative
350799,Negative
271513,Negative
207797,Negative
505948,Negative
218983,Positive
169064,Positive
323856,Positive
280343,Negative
211220,Positive
402422,Negative
319887,Positive
202386,Negative
206102,Negative
262571,Positive
487185,Positive
400402,Positive
207337,Negative
410082,Positive
82484,Positive
222159,Negative
179779,Negative
257864,Positive
97022,Positive
490594,Positive
321456,Positive
490999,Negative
313612,Negative
281661,Positive
487059,Positive
285370,Negative
331066,Positive
485065,Negative
348959,Positive
320726,Positive
452707,Positive
413872,Positive
462714,Positive
231253,Positive
233865,Positive
273186,Positive
47924,Negative
140990,Positive
329399,Negative
174227,Positive
168066,Positive
266677,Negative
327754,Negative
114335,Negative
407381,Negative
250214,Positive
18704,Positive
176814,Negative
200498,Positive
115768,Negative
228477,Negative
477608,Negative
406764,Negative
341002,Positive
84122,Positive
151136,Positive
365429,Positive
378996,Positive
81766,Negative
470007,Positive
173361,Negative
130311,Positive
127777,Positive
261377,Negative
478605,Negative
496615,Negative
293184,Negative
2131,Negative
151259,Negative
457100,Negative
279564,Positive
267776,Negative
262667,Negative
373828,Negative
180603,Positive
312275,Positive
374632,Negative
487113,Negative
91340,Negative
501671,Positive
65392,Positive
242778,Negative
293310,Negative
303794,Negative
242885,Negative
110736,Positive
302381,Positive
287297,Negative
118646,Positive
423692,Positive
172121,Negative
44572,Positive
319774,Negative
447542,Negative
404137,Positive
337181,Positive
446911,Positive
130546,Positive
119511,Negative
283327,Negative
511068,Negative
75807,Negative
461751,Negative
66236,Negative
355690,Positive
64691,Negative
382813,Negative
349144,Positive
383521,Positive
222110,Positive
484776,Negative
244473,Positive
407457,Positive
68546,Negative
66111,Positive
333591,Negative
199488,Negative
152413,Positive
148854,Positive
495891,Positive
228761,Positive
290464,Positive
197660,Negative
188474,Positive
67276,Negative
314864,Negative
402234,Positive
42184,Negative
68702,Positive
213921,Negative
380560,Positive
116240,Positive
248841,Positive
109908,Positive
228039,Positive
289394,Positive
294336,Positive
130949,Positive
134190,Negative
437885,Positive
262230,Positive
54749,Positive
238041,Positive
186634,Positive
417460,Positive
364549,Negative
162423,Negative
188101,Negative
323211,Positive
261472,Negative
5719,Positive
339200,Positive
51656,Negative
455797,Negative
166201,Negative
345802,Negative
36790,Positive
358691,Positive
70781,Negative
131226,Negative
64843,Negative
118834,Positive
368911,Negative
8223,Negative
129615,Negative
344417,Negative
254142,Positive
202524,Negative
241400,Positive
273232,Negative
99948,Negative
225470,Negative
501562,Negative
436289,Positive
457108,Negative
419751,Negative
392430,Positive
228782,Positive
166181,Positive
255906,Negative
386137,Positive
175041,Negative
418435,Positive
117144,Positive
190772,Negative
409231,Positive
378210,Negative
52928,Positive
113114,Negative
111070,Positive
436245,Positive
253639,Positive
494811,Negative
38541,Positive
286582,Positive
249682,Negative
498272,Positive
21365,Positive
317594,Negative
230570,Positive
142136,Negative
299915,Negative
288641,Positive
315633,Positive
302654,Positive
198657,Positive
363455,Negative
157871,Negative
204532,Positive
267255,Negative
438441,Negative
354889,Negative
380088,Positive
215192,Positive
99104,Positive
268533,Positive
301311,Positive
418569,Negative
246512,Positive
14712,Positive
60659,Negative
55979,Negative
480469,Negative
507340,Positive
412522,Positive
455798,Positive
102205,Negative
44766,Positive
239529,Positive
283355,Positive
249484,Positive
218105,Positive
265483,Positive
162641,Negative
324,Negative
294979,Positive
138724,Positive
426516,Negative
340899,Positive
100270,Positive
93655,Positive
249252,Positive
118439,Positive
420886,Positive
306043,Negative
420109,Positive
323271,Negative
374265,Negative
240277,Positive
156387,Negative
243695,Negative
479314,Positive
292774,Positive
515694,Positive
334018,Positive
448305,Negative
137893,Negative
153414,Negative
419566,Positive
320638,Negative
429979,Negative
93410,Positive
204859,Negative
204693,Negative
312755,Negative
293452,Positive
46910,Positive
106662,Negative
342831,Negative
333390,Positive
447598,Positive
400727,Positive
17009,Positive
265777,Positive
115489,Negative
304141,Negative
242795,Negative
156283,Negative
367738,Positive
489234,Negative
64041,Positive
455290,Positive
513788,Negative
459527,Negative
64434,Negative
65830,Negative
478774,Negative
415583,Positive
209662,Positive
383769,Positive
2147,Positive
355799,Positive
515553,Positive
37288,Positive
234472,Negative
441625,Negative
273627,Positive
155361,Negative
61544,Positive
304648,Negative
118756,Positive
70724,Negative
322462,Positive
381661,Positive
329508,Negative
52213,Negative
61470,Positive
266758,Negative
351139,Positive
498096,Negative
64551,Negative
74293,Negative
426187,Negative
398474,Negative
135925,Negative
164942,Positive
61474,Negative
480211,Negative
23352,Positive
260710,Negative
116303,Positive
130356,Negative
71271,Positive
127367,Negative
209535,Negative
114029,Negative
286387,Positive
193148,Negative
84814,Positive
182568,Positive
445162,Negative
418042,Positive
326999,Positive
439855,Positive
323064,Positive
79370,Negative
283442,Negative
58419,Positive
227842,Negative
92256,Negative
11577,Negative
135566,Negative
155878,Negative
497588,Negative
347962,Positive
124337,Negative
357963,Negative
95133,Negative
6976,Negative
432229,Positive
2923,Negative
198992,Positive
477968,Positive
106660,Negative
68475,Negative
361995,Positive
380395,Negative
64950,Positive
459512,Positive
129803,Negative
47782,Negative
272590,Positive
232911,Negative
113261,Negative
319791,Negative
126663,Negative
72267,Negative
96267,Positive
478570,Negative
144820,Positive
490099,Negative
418811,Positive
338679,Positive
108293,Positive
7700,Positive
103069,Positive
82711,Positive
206203,Positive
489642,Negative
66906,Negative
495701,Negative
135942,Positive
77563,Positive
390938,Positive
469865,Negative
135919,Negative
252727,Positive
373747,Positive
283974,Positive
44343,Positive
160496,Negative
383876,Positive
290118,Positive
461691,Positive
120961,Negative
114644,Positive
300672,Positive
214303,Negative
268580,Negative
480461,Negative
129529,Positive
508977,Positive
155101,Positive
254463,Negative
206286,Negative
234140,Positive
67602,Negative
364266,Negative
385865,Positive
64580,Negative
444421,Negative
50331,Negative
203824,Positive
117438,Positive
11809,Positive
485982,Negative
294904,Negative
102400,Negative
72738,Positive
82772,Positive
204658,Negative
314867,Negative
20783,Positive
12822,Positive
180227,Negative
22157,Negative
187165,Negative
110218,Negative
73892,Positive
256504,Negative
442507,Positive
334669,Negative
223402,Negative
308169,Negative
273914,Positive
335553,Positive
206736,Negative
312366,Negative
80137,Negative
474095,Positive
68268,Negative
244778,Negative
257754,Negative
505032,Negative
319333,Negative
190698,Positive
123432,Negative
372177,Positive
376219,Negative
148758,Negative
192722,Positive
437821,Negative
91958,Negative
161954,Negative
425671,Negative
42518,Negative
205057,Negative
272819,Positive
206555,Negative
113278,Negative
496478,Negative
345170,Negative
135393,Negative
383511,Negative
473367,Positive
4694,Positive
46908,Positive
9527,Positive
171715,Positive
190691,Positive
351208,Positive
351114,Positive
232703,Negative
346510,Negative
259544,Positive
365154,Positive
207479,Negative
406408,Negative
210827,Positive
58327,Negative
205207,Negative
271481,Positive
227890,Negative
283392,Positive
15023,Positive
480318,Negative
134634,Positive
5970,Negative
102750,Negative
167061,Positive
379372,Negative
108785,Positive
209434,Positive
309643,Negative
32427,Negative
64654,Negative
417023,Negative
172791,Positive
135661,Negative
5863,Positive
355173,Negative
261299,Positive
191150,Positive
27355,Negative
245965,Negative
76443,Negative
372428,Positive
5337,Positive
456114,Negative
108563,Positive
347976,Negative
368548,Negative
423357,Negative
452754,Negative
225639,Positive
415642,Positive
102583,Positive
164880,Negative
485821,Positive
126471,Negative
271356,Positive
490845,Negative
126858,Negative
101145,Negative
73177,Negative
87466,Positive
297667,Positive
476887,Positive
512561,Negative
500142,Positive
134949,Positive
82013,Positive
27235,Positive
430167,Positive
71339,Negative
59671,Positive
37403,Negative
248011,Positive
368,Positive
333645,Positive
260425,Negative
401759,Positive
348473,Negative
316222,Positive
425454,Positive
193806,Positive
418252,Positive
344859,Negative
24945,Negative
432707,Negative
171516,Positive
256335,Positive
7772,Positive
130855,Negative
18241,Positive
1612,Positive
295082,Negative
501207,Negative
196293,Negative
133782,Positive
303602,Negative
205884,Positive
508522,Negative
104215,Positive
115202,Negative
504446,Negative
403185,Negative
481490,Negative
23563,Positive
87325,Negative
41978,Negative
6308,Positive
493187,Negative
190879,Negative
363061,Positive
312409,Positive
176991,Positive
39241,Negative
66003,Positive
11254,Negative
346314,Positive
306436,Positive
472433,Positive
200889,Positive
398812,Positive
128827,Negative
258563,Positive
457704,Positive
139824,Positive
360978,Positive
52553,Positive
107991,Negative
202762,Negative
150065,Positive
207992,Positive
503935,Negative
376853,Positive
36543,Negative
160432,Negative
90414,Positive
145373,Positive
22153,Negative
232316,Positive
195958,Negative
406835,Positive
462765,Positive
235273,Positive
442478,Negative
99253,Positive
252686,Positive
117909,Positive
126527,Positive
122835,Positive
357547,Negative
30211,Positive
382137,Positive
302064,Negative
278622,Negative
131028,Negative
268082,Negative
290060,Negative
394364,Negative
415851,Negative
353487,Negative
475831,Negative
116098,Positive
28424,Positive
203370,Positive
124329,Positive
96989,Negative
118498,Negative
207758,Negative
299985,Positive
423281,Positive
367595,Positive
507118,Positive
12280,Positive
380022,Negative
333029,Positive
320481,Positive
102930,Negative
117154,Positive
463517,Positive
82448,Positive
69341,Positive
262500,Negative
151843,Negative
491836,Negative
464585,Positive
356898,Positive
371022,Positive
209554,Negative
397813,Positive
418528,Negative
401563,Positive
241339,Negative
225386,Positive
298780,Negative
160768,Negative
175822,Positive
402415,Positive
507262,Positive
74325,Positive
329117,Positive
334855,Negative
480480,Negative
446248,Positive
222737,Positive
130848,Negative
223051,Negative
196283,Negative
17360,Negative
109115,Positive
420903,Positive
359742,Negative
158964,Negative
279562,Negative
12180,Negative
327873,Positive
9552,Negative
501924,Negative
99838,Negative
454293,Positive
462192,Negative
218286,Negative
70366,Positive
120031,Positive
100059,Negative
443670,Positive
90452,Negative
387460,Positive
323489,Positive
51634,Negative
125495,Negative
274007,Positive
245001,Positive
393565,Positive
40139,Positive
82016,Negative
236187,Negative
127133,Negative
296191,Positive
498127,Negative
492382,Negative
13932,Positive
106539,Negative
205317,Negative
342015,Positive
310028,Positive
328442,Positive
95458,Negative
168099,Positive
170810,Positive
158399,Positive
38838,Positive
160333,Negative
49567,Positive
166273,Positive
499191,Positive
376703,Positive
227144,Negative
180940,Positive
391193,Positive
390224,Negative
353192,Negative
9989,Negative
242062,Positive
277492,Positive
187652,Positive
41193,Positive
336584,Positive
116627,Positive
354934,Negative
344464,Negative
229331,Negative
372482,Positive
292447,Positive
284045,Positive
247994,Positive
365096,Positive
469409,Negative
135786,Negative
334062,Negative
79365,Negative
237217,Negative
244073,Negative
406888,Negative
445361,Negative
152114,Negative
454837,Positive
333484,Negative
345018,Positive
67202,Positive
359525,Positive
356092,Negative
75782,Positive
435539,Positive
65996,Negative
92306,Negative
297622,Positive
202434,Positive
81940,Negative
477618,Negative
8065,Positive
234268,Negative
501760,Positive
210100,Negative
394831,Positive
491042,Negative
454309,Positive
89592,Positive
490262,Negative
102554,Negative
344713,Negative
361950,Negative
422487,Positive
152308,Positive
282974,Positive
75280,Negative
106688,Negative
472421,Negative
515559,Negative
215161,Positive
269817,Positive
49783,Positive
242578,Negative
69613,Negative
384944,Positive
101542,Positive
387341,Positive
89264,Negative
151325,Positive
498642,Negative
349451,Negative
351387,Positive
123772,Positive
36607,Positive
305178,Negative
242918,Negative
177513,Positive
242699,Negative
164837,Positive
249324,Positive
508198,Negative
498408,Negative
64482,Negative
114246,Negative
47266,Positive
460092,Negative
244464,Negative
493056,Positive
68203,Negative
295414,Negative
215531,Negative
48727,Negative
8895,Negative
202697,Negative
176227,Positive
214103,Negative
396104,Negative
453394,Negative
12128,Negative
115516,Positive
144218,Positive
211487,Positive
214567,Negative
66114,Positive
318024,Positive
216895,Negative
416520,Positive
422947,Negative
397179,Positive
99712,Negative
70490,Negative
23277,Positive
363879,Negative
161517,Negative
209523,Negative
272873,Negative
497547,Positive
254478,Negative
226469,Positive
66899,Positive
350561,Negative
367985,Positive
337922,Negative
198421,Positive
449889,Positive
437532,Positive
332684,Positive
196240,Positive
214738,Negative
317914,Positive
92178,Positive
372940,Positive
449545,Positive
509148,Positive
102625,Negative
68360,Positive
26128,Positive
143313,Positive
338985,Negative
84596,Negative
117280,Negative
364111,Negative
134952,Negative
382616,Negative
262446,Positive
278996,Negative
464854,Positive
2126,Positive
64610,Positive
336538,Positive
305224,Positive
119638,Positive
331096,Positive
334081,Negative
40395,Positive
364317,Positive
225039,Negative
471424,Negative
423020,Positive
101569,Positive
468972,Positive
215567,Positive
480566,Negative
367686,Positive
258024,Positive
493666,Positive
376927,Negative
407438,Negative
345015,Negative
445149,Negative
271517,Positive
359404,Positive
490506,Negative
198501,Positive
500434,Negative
5794,Positive
161530,Positive
220615,Positive
456311,Positive
358984,Negative
444105,Positive
368794,Negative
124866,Negative
331958,Negative
402739,Positive
500255,Negative
90280,Negative
405069,Negative
278725,Negative
193476,Positive
5629,Negative
467554,Negative
42029,Negative
331056,Positive
242365,Negative
278514,Positive
413175,Positive
186770,Negative
43148,Negative
187737,Negative
313527,Negative
182473,Negative
38693,Positive
38573,Negative
330429,Positive
57621,Negative
136690,Negative
514711,Positive
97184,Positive
242504,Negative
400057,Positive
336676,Positive
123749,Negative
180194,Negative
112372,Negative
194906,Positive
488916,Negative
105781,Negative
255400,Negative
167460,Negative
492448,Positive
27233,Negative
447908,Positive
302565,Negative
245527,Negative
327067,Positive
214847,Positive
499548,Negative
287273,Negative
149268,Negative
136287,Negative
409380,Positive
515218,Positive
379178,Negative
189942,Positive
400301,Positive
287976,Negative
225444,Negative
266611,Positive
69415,Negative
173032,Negative
406860,Positive
300271,Positive
213553,Negative
271902,Negative
414687,Positive
124,Negative
477253,Positive
23914,Positive
449478,Positive
407272,Positive
184901,Positive
68321,Negative
38819,Negative
202720,Negative
6004,Negative
321941,Negative
438073,Positive
216746,Positive
485085,Positive
151602,Positive
321381,Positive
467045,Negative
415584,Negative
69715,Negative
480488,Positive
469862,Positive
110522,Negative
241964,Positive
94426,Positive
31486,Positive
269984,Positive
39932,Positive
321273,Positive
104704,Negative
109609,Positive
86180,Negative
185735,Negative
297925,Positive
115744,Negative
327103,Negative
69777,Negative
103723,Negative
5573,Negative
265543,Positive
204956,Negative
306329,Positive
125529,Negative
53273,Positive
157985,Negative
192131,Negative
474651,Positive
488645,Negative
24063,Positive
101780,Positive
246333,Positive
1448,Positive
79869,Negative
65601,Negative
244637,Positive
46857,Negative
337354,Positive
5297,Negative
58700,Positive
131684,Positive
361210,Negative
68988,Negative
66343,Negative
19366,Positive
6259,Negative
399760,Positive
85996,Positive
62911,Positive
486845,Positive
363669,Positive
477207,Negative
449113,Positive
354057,Negative
280978,Positive
162257,Negative
231267,Positive
420806,Positive
135921,Negative
257712,Positive
156163,Negative
22011,Positive
191885,Positive
300371,Positive
155661,Negative
371212,Positive
110713,Negative
93606,Positive
224921,Negative
79982,Positive
71149,Positive
420199,Positive
304160,Negative
325016,Negative
108134,Negative
404790,Positive
94578,Negative
503731,Negative
144107,Positive
249196,Negative
108625,Negative
437582,Positive
55056,Negative
355649,Negative
112784,Negative
4910,Positive
123580,Positive
197848,Negative
242746,Negative
508855,Positive
92058,Positive
237371,Positive
157920,Negative
15956,Positive
306924,Positive
418184,Negative
500834,Negative
470185,Positive
498555,Negative
364740,Negative
391211,Negative
452893,Positive
116180,Negative
132693,Negative
115198,Negative
473090,Negative
243060,Positive
238236,Positive
513787,Negative
323551,Positive
105589,Positive
200077,Positive
330495,Positive
136154,Negative
13974,Negative
152155,Positive
419592,Positive
164112,Negative
70679,Positive
440853,Negative
337559,Negative
386822,Positive
329465,Positive
39904,Positive
65394,Negative
116229,Positive
249033,Positive
239787,Positive
481768,Positive
260326,Negative
137456,Negative
316801,Positive
155911,Negative
293107,Negative
335057,Positive
140746,Positive
398316,Negative
242547,Negative
323442,Positive
110254,Negative
262796,Negative
406403,Negative
204828,Negative
474611,Negative
26381,Negative
18583,Positive
210226,Negative
9447,Positive
28129,Positive
236993,Positive
315748,Positive
406022,Negative
365369,Positive
125550,Positive
479835,Negative
474967,Positive
506165,Positive
112868,Negative
47329,Negative
90507,Positive
260713,Positive
267276,Positive
59095,Negative
320304,Positive
479151,Negative
124857,Positive
147405,Positive
345803,Negative
273297,Negative
336971,Negative
471335,Positive
18247,Negative
358450,Negative
404452,Positive
389346,Negative
333751,Positive
162395,Positive
459880,Negative
53510,Negative
106144,Positive
178195,Negative
305830,Positive
423531,Negative
731,Positive
245837,Negative
168055,Positive
223358,Positive
66759,Negative
176335,Negative
152490,Positive
35738,Positive
2610,Negative
431948,Positive
213181,Negative
70055,Negative
213195,Negative
214013,Negative
223294,Negative
398388,Positive
133336,Positive
215489,Negative
208318,Negative
113479,Negative
512925,Positive
266482,Positive
129494,Negative
102714,Negative
474815,Negative
291773,Positive
37290,Positive
282491,Negative
444411,Negative
454403,Positive
452694,Positive
15451,Negative
389496,Negative
511629,Positive
402297,Positive
90513,Negative
127567,Negative
109275,Positive
451761,Positive
167763,Positive
168335,Negative
22189,Negative
123521,Negative
107834,Positive
153499,Positive
305864,Negative
369189,Positive
195977,Negative
269610,Positive
394964,Negative
64569,Positive
252232,Positive
328271,Positive
130844,Negative
376760,Positive
218361,Positive
113797,Negative
399299,Positive
515677,Negative
84303,Positive
204814,Negative
281149,Negative
276301,Negative
176620,Negative
65253,Negative
213269,Negative
444319,Negative
193905,Negative
299786,Negative
97142,Positive
453417,Negative
48046,Negative
176241,Positive
319743,Negative
493919,Positive
213657,Negative
317300,Negative
222819,Positive
511929,Positive
55119,Positive
500326,Negative
135726,Negative
68009,Negative
91968,Negative
451363,Positive
301404,Negative
335303,Negative
2229,Positive
479475,Positive
494783,Positive
325861,Negative
64073,Negative
17158,Positive
330296,Negative
440136,Negative
209654,Positive
210021,Negative
390370,Positive
377012,Positive
65653,Negative
343260,Positive
31538,Positive
467183,Positive
490752,Positive
427708,Negative
209992,Negative
169177,Negative
195868,Positive
421579,Positive
255563,Negative
280376,Negative
324420,Negative
110056,Negative
92586,Negative
508225,Positive
15437,Positive
226265,Positive
211781,Negative
469646,Positive
407423,Negative
210152,Negative
427879,Negative
24978,Positive
404340,Positive
389102,Negative
513668,Negative
105696,Negative
498318,Negative
330328,Positive
326205,Negative
250232,Positive
225692,Negative
379759,Positive
1777,Positive
232790,Negative
118418,Positive
64799,Negative
46171,Negative
296935,Positive
321737,Positive
146180,Positive
58122,Positive
407902,Negative
513054,Negative
393733,Negative
373697,Positive
363444,Positive
498152,Positive
256641,Negative
205390,Negative
287351,Negative
52011,Negative
306760,Negative
265158,Positive
466679,Negative
157162,Positive
185034,Positive
114424,Negative
336879,Positive
426582,Negative
176257,Negative
39150,Negative
117613,Positive
80102,Negative
273384,Negative
483462,Negative
121482,Negative
195930,Positive
21662,Negative
335131,Negative
43527,Negative
243791,Negative
437904,Negative
204964,Negative
297614,Negative
413300,Positive
471875,Positive
194114,Positive
110151,Negative
91442,Positive
160020,Positive
406322,Positive
238567,Negative
29749,Negative
326135,Negative
180331,Negative
82566,Negative
511657,Positive
265789,Positive
156925,Positive
37467,Negative
120226,Negative
453212,Negative
64397,Negative
157758,Positive
289318,Negative
323233,Negative
105415,Negative
219383,Positive
465620,Positive
123628,Negative
316989,Positive
369818,Negative
283412,Negative
273424,Positive
470764,Positive
200146,Positive
180028,Negative
112360,Negative
405393,Negative
123775,Negative
404019,Negative
246040,Positive
416981,Positive
23459,Negative
256393,Positive
400430,Negative
210143,Negative
68307,Negative
323579,Positive
232709,Negative
272882,Positive
434638,Positive
306993,Positive
502434,Positive
132028,Negative
195775,Positive
84561,Positive
214852,Positive
176333,Negative
498078,Negative
418181,Negative
411316,Positive
446136,Positive
431170,Negative
131077,Negative
212672,Negative
388918,Positive
295580,Negative
218664,Positive
67847,Positive
341977,Negative
243360,Negative
2747,Positive
205223,Negative
38908,Negative
401436,Positive
297006,Positive
416124,Positive
296983,Positive
68173,Positive
192984,Positive
110374,Positive
463910,Negative
174306,Negative
376043,Negative
485082,Negative
496446,Positive
157786,Positive
6933,Positive
295571,Negative
507745,Positive
163396,Negative
507938,Positive
475565,Positive
315038,Negative
107721,Positive
358689,Negative
106428,Negative
309647,Negative
82009,Negative
502738,Positive
195147,Negative
6324,Positive
417030,Negative
485484,Positive
489108,Negative
226283,Positive
490027,Negative
475943,Positive
160408,Negative
444801,Negative
500663,Positive
286245,Positive
55756,Positive
505964,Positive
456368,Positive
344242,Positive
464994,Negative
17642,Positive
361402,Negative
456452,Positive
399673,Positive
44357,Positive
223655,Negative
80107,Negative
312559,Positive
103755,Positive
252787,Negative
149521,Negative
373428,Positive
22166,Negative
179692,Positive
182381,Negative
146698,Positive
353417,Negative
360439,Positive
342207,Negative
459521,Positive
45300,Positive
382643,Positive
434020,Negative
299647,Negative
412026,Negative
92151,Negative
341069,Positive
400632,Negative
82920,Negative
257537,Negative
495367,Positive
108130,Negative
481327,Positive
313960,Negative
102843,Negative
69674,Negative
178060,Positive
432452,Positive
275333,Negative
355359,Positive
386878,Negative
137299,Positive
43839,Negative
410276,Negative
265475,Negative
89425,Negative
129886,Negative
514066,Positive
131544,Negative
215504,Positive
233138,Negative
221722,Positive
97385,Positive
152596,Negative
133419,Positive
178408,Positive
396932,Negative
94190,Negative
497692,Negative
236571,Positive
92235,Negative
488686,Negative
425493,Positive
315023,Positive
257314,Positive
136441,Negative
172386,Positive
32404,Negative
162352,Negative
359466,Negative
186893,Positive
147235,Positive
30793,Negative
29186,Negative
514167,Positive
52646,Positive
11223,Negative
366232,Positive
46978,Positive
430153,Positive
249816,Negative
351630,Negative
359600,Negative
75603,Positive
424513,Positive
232897,Negative
64855,Negative
361367,Positive
359993,Positive
315687,Negative
480391,Negative
226038,Positive
135480,Negative
140406,Positive
497937,Negative
263452,Positive
505852,Negative
265126,Positive
207867,Positive
179671,Positive
41644,Positive
106532,Negative
289201,Negative
513358,Positive
113868,Negative
53730,Positive
343749,Negative
55519,Positive
135254,Positive
255061,Positive
377495,Positive
234316,Negative
303468,Negative
337298,Negative
42504,Positive
407702,Negative
74389,Negative
61375,Positive
427927,Negative
418486,Negative
67670,Positive
175592,Negative
154069,Positive
28822,Negative
75041,Negative
62128,Positive
293169,Negative
129634,Negative
299891,Positive
432667,Positive
318162,Positive
192381,Positive
322191,Positive
146803,Positive
425013,Positive
442448,Negative
342626,Negative
29308,Positive
292045,Positive
294173,Positive
160828,Positive
132149,Positive
503805,Positive
372298,Positive
186573,Negative
268737,Negative
61983,Positive
232937,Positive
67289,Positive
58003,Positive
47700,Positive
173392,Negative
495599,Negative
215899,Negative
58681,Positive
14150,Negative
312135,Positive
272313,Negative
52527,Negative
125266,Positive
310507,Positive
253420,Positive
505908,Positive
68328,Negative
146037,Positive
323398,Negative
474559,Positive
389981,Negative
238325,Positive
95693,Positive
440454,Positive
169229,Negative
339597,Positive
355489,Negative
24084,Positive
491838,Negative
219503,Positive
73675,Positive
293905,Positive
197240,Negative
117197,Negative
70317,Positive
394484,Positive
116041,Negative
80601,Negative
462061,Positive
34209,Negative
399358,Negative
479667,Negative
212646,Positive
467599,Negative
450180,Negative
29855,Positive
508611,Positive
29607,Positive
485182,Positive
210253,Negative
234273,Negative
46069,Positive
441935,Negative
420454,Positive
96790,Positive
499145,Positive
260975,Negative
480460,Negative
65940,Negative
329172,Negative
46,Negative
113516,Negative
513644,Negative
203374,Positive
60074,Positive
388325,Positive
66910,Negative
383872,Negative
355751,Negative
379989,Positive
468503,Negative
253743,Negative
10951,Negative
364497,Negative
3529,Negative
110344,Negative
52777,Positive
115790,Negative
123305,Negative
197171,Positive
260509,Positive
316178,Negative
65541,Negative
359377,Negative
479770,Negative
30624,Positive
136282,Positive
301355,Negative
269899,Negative
8345,Negative
453773,Positive
409527,Negative
91704,Negative
474466,Negative
397906,Negative
43069,Negative
261112,Negative
427148,Negative
319288,Negative
28743,Negative
112064,Negative
90724,Positive
442142,Positive
115431,Positive
86844,Positive
56362,Negative
263497,Negative
366315,Negative
6087,Positive
514796,Negative
226952,Positive
196006,Positive
392127,Positive
221230,Positive
231701,Positive
42023,Positive
503350,Negative
422375,Positive
234825,Negative
362699,Positive
135932,Negative
429198,Positive
135871,Negative
186078,Negative
469367,Negative
108469,Negative
498061,Negative
160630,Negative
243429,Negative
359565,Positive
482888,Positive
446734,Negative
269866,Negative
216050,Positive
75818,Negative
